doc,grade,kincaid_grade,reading_ease,sentences,words
2002-12-01,College,12.6,41.93,782,16278
2003-07-01,College,14.1,36.7,425,10273
2003-12-01,College,14.1,34.21,447,10186
2005-07-01,College,13.2,39.51,394,8677
2005-12-01,College,12.2,41.84,546,10447
2006-03-01,College,12.0,43.47,376,7311
2006-09-01,College,12.5,42.64,518,10714
2007-03-01,College,12.6,41.1,494,10159
2007-09-01,College,12.5,41.91,730,14921
2008-03-01,College,13.2,39.52,860,18974
2008-09-01,College,13.3,40.84,924,21223
2009-03-01,College,13.2,39.15,849,18622
2009-09-01,College,13.3,40.6,756,17490
2010-03-01,College,13.2,40.79,940,21382
2010-09-01,College,12.8,45.79,825,19816
2011-03-01,College,12.5,46.8,904,20987
2011-09-01,College,12.5,47.27,1006,23649
2012-03-01,College,12.4,47.25,1123,26058
2014-03-01,College,15.5,32.12,694,18797
2014-09-01,College Graduate,15.9,28.96,978,26292
2017-03-01,College Graduate,16.4,24.95,570,15285
